Name,Cuisines,Cost
Cascade - Radisson Hyderabad Hitec City,Asian,1800.0
Collage - Hyatt Hyderabad Gachibowli,Continental,2800.0
Collage - Hyatt Hyderabad Gachibowli,Italian,2800.0
Collage - Hyatt Hyderabad Gachibowli,North Indian,2800.0
Collage - Hyatt Hyderabad Gachibowli,Chinese,2800.0
Collage - Hyatt Hyderabad Gachibowli,Asian,2800.0
Zing's Northeast Kitchen,North Eastern,550.0
Zing's Northeast Kitchen,Momos,550.0
Dunkin' Donuts,Desserts,550.0
Dunkin' Donuts,Cafe,550.0
Dunkin' Donuts,Beverages,550.0
Dunkin' Donuts,Burger,550.0
Dunkin' Donuts,Fast Food,550.0
Desi Bytes,North Indian,400.0
Desi Bytes,Chinese,400.0
Hyderabadi Daawat,Hyderabadi,600.0
Hyderabadi Daawat,Chinese,600.0
Hyderabadi Daawat,Mughlai,600.0
Zega - Sheraton Hyderabad Hotel,Asian,1750.0
Zega - Sheraton Hyderabad Hotel,Sushi,1750.0
Triptify,North Indian,400.0
Chinese Pavilion,Chinese,1000.0
Chinese Pavilion,Seafood,1000.0
IndiBlaze,Fast Food,600.0
IndiBlaze,Salad,600.0
Sweet Basket,Bakery,200.0
Sweet Basket,Mithai,200.0
Angaara Counts 3,North Indian,500.0
Angaara Counts 3,Biryani,500.0
Angaara Counts 3,Chinese,500.0
Wich Please,Fast Food,250.0
Republic Of Noodles - Lemon Tree Hotel,Thai,1700.0
Republic Of Noodles - Lemon Tree Hotel,Asian,1700.0
Republic Of Noodles - Lemon Tree Hotel,Chinese,1700.0
Republic Of Noodles - Lemon Tree Hotel,Malaysian,1700.0
